utc,symbol
2026-04-18T22:30:00+00:00,AAVEUSDT
2026-04-18T23:30:00+00:00,MOVEUSDT
2026-04-19T00:00:00+00:00,ZROUSDT
2026-04-19T00:15:00+00:00,CFGUSDT
2026-04-19T01:30:00+00:00,1000XECUSDT
2026-04-19T01:45:00+00:00,TREEUSDT
2026-04-19T02:00:00+00:00,SANDUSDT
2026-04-19T02:00:00+00:00,STXUSDT
2026-04-19T02:15:00+00:00,ERAUSDT
2026-04-19T02:15:00+00:00,MEGAUSDT
2026-04-19T03:00:00+00:00,PIEVERSEUSDT
2026-04-19T04:30:00+00:00,AAVEUSDT
2026-04-19T05:15:00+00:00,MOVEUSDT
2026-04-19T06:00:00+00:00,SPKUSDT
2026-04-19T06:15:00+00:00,ZROUSDT
2026-04-19T06:30:00+00:00,VANAUSDT
2026-04-19T07:00:00+00:00,BCHUSDT
2026-04-19T08:30:00+00:00,AAVEUSDT
2026-04-19T11:00:00+00:00,PIEVERSEUSDT
2026-04-19T11:15:00+00:00,SPKUSDT
2026-04-19T11:15:00+00:00,TRXUSDT
2026-04-19T12:00:00+00:00,ZROUSDT
2026-04-19T14:30:00+00:00,CFGUSDT
2026-04-19T15:00:00+00:00,MOVEUSDT
2026-04-19T15:15:00+00:00,SPKUSDT
2026-04-19T16:00:00+00:00,1000SHIBUSDT
2026-04-19T16:15:00+00:00,PIEVERSEUSDT
2026-04-19T17:00:00+00:00,TRXUSDT
2026-04-19T18:00:00+00:00,MONUSDT
2026-04-19T20:00:00+00:00,PENDLEUSDT
2026-04-19T20:45:00+00:00,MOVEUSDT
2026-04-19T20:45:00+00:00,PIEVERSEUSDT
2026-04-19T22:00:00+00:00,BERAUSDT
2026-04-19T22:00:00+00:00,DOTUSDT
2026-04-19T22:00:00+00:00,ETCUSDT
2026-04-19T23:00:00+00:00,TRXUSDT
2026-04-20T00:45:00+00:00,PIEVERSEUSDT
2026-04-20T02:00:00+00:00,PLUMEUSDT
2026-04-20T04:00:00+00:00,IRYSUSDT
2026-04-20T04:15:00+00:00,SPKUSDT
2026-04-20T05:00:00+00:00,AWEUSDT
2026-04-20T05:30:00+00:00,ZROUSDT
2026-04-20T05:45:00+00:00,PIEVERSEUSDT
2026-04-20T08:45:00+00:00,SPKUSDT
2026-04-20T09:30:00+00:00,ZROUSDT
2026-04-20T10:00:00+00:00,FLOCKUSDT
2026-04-20T10:30:00+00:00,CHZUSDT
2026-04-20T11:45:00+00:00,PIEVERSEUSDT
2026-04-20T12:45:00+00:00,SPKUSDT
2026-04-20T14:00:00+00:00,MEGAUSDT
2026-04-20T14:45:00+00:00,CCUSDT
2026-04-20T14:45:00+00:00,PENGUUSDT
2026-04-20T15:00:00+00:00,AAVEUSDT
2026-04-20T15:00:00+00:00,IRYSUSDT
2026-04-20T17:00:00+00:00,SPKUSDT
2026-04-20T18:30:00+00:00,IDUSDT
2026-04-20T18:30:00+00:00,PIEVERSEUSDT
2026-04-20T21:00:00+00:00,AAVEUSDT
2026-04-20T23:00:00+00:00,ZROUSDT
2026-04-20T23:30:00+00:00,SPKUSDT
2026-04-21T00:15:00+00:00,CFGUSDT
2026-04-21T04:30:00+00:00,BIRBUSDT
2026-04-21T07:45:00+00:00,CCUSDT
2026-04-21T09:30:00+00:00,PLUMEUSDT
2026-04-21T10:45:00+00:00,FLOCKUSDT
2026-04-21T11:00:00+00:00,ENSUSDT
2026-04-21T11:00:00+00:00,SPKUSDT
2026-04-21T12:30:00+00:00,LINKUSDT
2026-04-21T12:30:00+00:00,NEARUSDT
2026-04-21T13:00:00+00:00,ATOMUSDT
2026-04-21T15:15:00+00:00,ERAUSDT
2026-04-21T16:00:00+00:00,CHZUSDT
2026-04-21T17:15:00+00:00,ATOMUSDT
2026-04-21T19:30:00+00:00,WUSDT
2026-04-21T20:45:00+00:00,AWEUSDT
2026-04-22T05:30:00+00:00,SEIUSDT
2026-04-22T05:45:00+00:00,PUMPUSDT
2026-04-22T07:15:00+00:00,WUSDT
2026-04-22T07:30:00+00:00,HOLOUSDT
2026-04-22T09:30:00+00:00,AVNTUSDT
2026-04-22T10:00:00+00:00,TRUMPUSDT
2026-04-22T10:30:00+00:00,SPKUSDT
2026-04-22T11:15:00+00:00,APTUSDT
2026-04-22T11:15:00+00:00,PENGUUSDT
2026-04-22T13:30:00+00:00,HOLOUSDT
2026-04-22T13:30:00+00:00,PYTHUSDT
2026-04-22T14:00:00+00:00,TRUMPUSDT
2026-04-22T14:15:00+00:00,TRXUSDT
2026-04-22T15:30:00+00:00,AVNTUSDT
2026-04-22T15:30:00+00:00,SPKUSDT
2026-04-22T15:45:00+00:00,DEEPUSDT
2026-04-22T15:45:00+00:00,PENGUUSDT
2026-04-22T16:15:00+00:00,SEIUSDT
2026-04-22T19:30:00+00:00,TRUMPUSDT
2026-04-22T22:00:00+00:00,SPKUSDT
2026-04-23T00:00:00+00:00,ZKPUSDT
2026-04-23T02:00:00+00:00,PENGUUSDT
2026-04-23T02:45:00+00:00,SPKUSDT
2026-04-23T08:00:00+00:00,SPKUSDT
2026-04-23T09:00:00+00:00,PENGUUSDT
2026-04-23T12:00:00+00:00,KATUSDT
2026-04-23T12:15:00+00:00,SPKUSDT
2026-04-23T13:00:00+00:00,MEGAUSDT
2026-04-23T16:00:00+00:00,PLUMEUSDT
2026-04-23T16:30:00+00:00,SPKUSDT
2026-04-23T17:30:00+00:00,ATOMUSDT
2026-04-23T17:30:00+00:00,DOTUSDT
2026-04-23T17:30:00+00:00,ENSUSDT
2026-04-23T17:30:00+00:00,FILUSDT
2026-04-23T17:30:00+00:00,KATUSDT
2026-04-23T17:30:00+00:00,LSKUSDT
2026-04-23T17:30:00+00:00,PENGUUSDT
2026-04-23T17:30:00+00:00,TRUMPUSDT
2026-04-23T17:30:00+00:00,ZORAUSDT
2026-04-23T17:45:00+00:00,APTUSDT
2026-04-23T17:45:00+00:00,AWEUSDT
2026-04-23T17:45:00+00:00,POLUSDT
2026-04-23T22:30:00+00:00,PYTHUSDT
2026-04-24T00:00:00+00:00,FLOCKUSDT
2026-04-24T00:15:00+00:00,ENSOUSDT
2026-04-24T00:30:00+00:00,KATUSDT
2026-04-24T01:15:00+00:00,PLUMEUSDT
2026-04-24T02:00:00+00:00,KAITOUSDT
2026-04-24T02:30:00+00:00,SKRUSDT
2026-04-24T02:45:00+00:00,AWEUSDT
2026-04-24T04:30:00+00:00,KATUSDT
2026-04-24T05:15:00+00:00,ENSUSDT
2026-04-24T06:00:00+00:00,ZKPUSDT
2026-04-24T06:45:00+00:00,SKRUSDT
