utc,cluster_size,btc_ret15,symbols
2026-04-17T13:30:00+00:00,3,0.00407,AMZNUSDT|CRCLUSDT|ORDIUSDT
2026-04-17T13:45:00+00:00,2,0.0058,CRVUSDT|WLFIUSDT
2026-04-17T14:00:00+00:00,3,-0.00329,HOMEUSDT|MORPHOUSDT|PENDLEUSDT
2026-04-17T15:00:00+00:00,1,-0.00067,MSTRUSDT
2026-04-17T15:15:00+00:00,1,-0.00101,WLDUSDT
2026-04-17T15:30:00+00:00,1,-0.00286,TIAUSDT
2026-04-17T16:30:00+00:00,1,-0.00094,AEROUSDT
2026-04-17T17:00:00+00:00,1,-0.00458,ONDOUSDT
2026-04-17T17:15:00+00:00,1,-0.00334,ENAUSDT
2026-04-17T17:45:00+00:00,1,0.00072,LITUSDT
2026-04-17T18:00:00+00:00,1,-0.00473,PENDLEUSDT
2026-04-17T18:30:00+00:00,1,0.00225,EVAAUSDT
2026-04-17T19:30:00+00:00,1,0.00101,TLMUSDT
2026-04-17T22:00:00+00:00,1,-0.00033,EIGENUSDT
2026-04-17T22:45:00+00:00,1,-0.00145,PENDLEUSDT
2026-04-17T23:15:00+00:00,1,-0.00196,TIAUSDT
2026-04-17T23:30:00+00:00,2,-0.00018,UBUSDT|XPLUSDT
2026-04-18T00:00:00+00:00,1,0.00032,ORDIUSDT
2026-04-18T06:00:00+00:00,2,0.00049,AKEUSDT|UBUSDT
2026-04-18T07:30:00+00:00,1,-0.00069,TLMUSDT
2026-04-18T07:45:00+00:00,1,-0.00059,HEIUSDT
2026-04-18T08:15:00+00:00,3,-0.00152,ASTERUSDT|CRVUSDT|TRUMPUSDT
2026-04-18T08:30:00+00:00,2,-0.00169,TIAUSDT|VANRYUSDT
2026-04-18T10:00:00+00:00,3,-0.00401,FETUSDT|VIRTUALUSDT|WLDUSDT
2026-04-18T10:15:00+00:00,1,0.00049,DEXEUSDT
2026-04-18T10:30:00+00:00,1,-0.00128,PENDLEUSDT
2026-04-18T10:45:00+00:00,1,-0.00052,EIGENUSDT
2026-04-18T11:00:00+00:00,1,-0.00322,PUMPUSDT
2026-04-18T11:45:00+00:00,1,0.00261,TLMUSDT
2026-04-18T13:00:00+00:00,1,-0.00064,HOMEUSDT
2026-04-18T13:15:00+00:00,1,-0.00096,HEIUSDT
2026-04-18T13:30:00+00:00,1,-0.00181,GWEIUSDT
2026-04-18T17:30:00+00:00,1,0.00027,AEROUSDT
2026-04-18T18:30:00+00:00,2,-0.00118,AAVEUSDT|TLMUSDT
2026-04-18T20:00:00+00:00,1,0.00065,GWEIUSDT
2026-04-18T20:45:00+00:00,1,-0.00053,MORPHOUSDT
2026-04-18T22:30:00+00:00,1,0.00088,AAVEUSDT
2026-04-19T00:00:00+00:00,1,0.00107,ZROUSDT
2026-04-19T03:30:00+00:00,1,0.00104,GWEIUSDT
2026-04-19T04:30:00+00:00,1,-0.00187,AAVEUSDT
2026-04-19T06:15:00+00:00,1,0.00019,ZROUSDT
2026-04-19T07:00:00+00:00,1,-0.00219,BCHUSDT
2026-04-19T07:15:00+00:00,2,-0.00352,ICPUSDT|LTCUSDT
2026-04-19T08:00:00+00:00,1,0.0002,GWEIUSDT
2026-04-19T08:30:00+00:00,1,0.00128,AAVEUSDT
2026-04-19T10:15:00+00:00,1,0.00067,HOMEUSDT
2026-04-19T11:15:00+00:00,1,-0.00069,TRXUSDT
2026-04-19T12:00:00+00:00,1,0.00104,ZROUSDT
2026-04-19T13:45:00+00:00,1,-0.00146,GWEIUSDT
2026-04-19T14:15:00+00:00,1,0.00222,MORPHOUSDT
2026-04-19T14:45:00+00:00,2,0.00047,DEXEUSDT|HOMEUSDT
2026-04-19T16:00:00+00:00,1,-0.00241,1000SHIBUSDT
2026-04-19T17:00:00+00:00,1,-0.00166,TRXUSDT
2026-04-19T20:00:00+00:00,1,-0.00199,PENDLEUSDT
2026-04-19T22:00:00+00:00,2,-0.00529,DOTUSDT|ETCUSDT
2026-04-19T23:00:00+00:00,1,-0.00023,TRXUSDT
2026-04-20T00:00:00+00:00,4,0.0032,COINUSDT|EWYUSDT|HOODUSDT|MSTRUSDT
2026-04-20T02:45:00+00:00,1,-0.00151,VELVETUSDT
2026-04-20T05:30:00+00:00,1,-0.00025,ZROUSDT
2026-04-20T09:30:00+00:00,1,0.00176,ZROUSDT
2026-04-20T10:30:00+00:00,1,-0.00172,CHZUSDT
2026-04-20T11:15:00+00:00,1,-0.00012,DEXEUSDT
2026-04-20T12:00:00+00:00,1,0.00208,ALLOUSDT
2026-04-20T13:15:00+00:00,1,-0.00036,EVAAUSDT
2026-04-20T13:30:00+00:00,3,0.00039,CRCLUSDT|INTCUSDT|TSLAUSDT
2026-04-20T14:45:00+00:00,2,-0.00386,EIGENUSDT|PENGUUSDT
2026-04-20T15:00:00+00:00,1,0.00033,AAVEUSDT
2026-04-20T16:15:00+00:00,1,-0.00077,LDOUSDT
2026-04-20T16:30:00+00:00,1,0.00165,ALLOUSDT
2026-04-20T18:00:00+00:00,1,0.00506,HEIUSDT
2026-04-20T21:00:00+00:00,1,-0.00358,AAVEUSDT
2026-04-20T23:00:00+00:00,1,-0.00288,ZROUSDT
2026-04-21T01:15:00+00:00,1,1e-05,RIFUSDT
2026-04-21T05:30:00+00:00,1,-0.00075,ALLOUSDT
2026-04-21T11:00:00+00:00,2,-0.00449,BNBUSDT|XLMUSDT
2026-04-21T11:45:00+00:00,1,-0.00039,OPUSDT
2026-04-21T12:00:00+00:00,1,-0.00256,XMRUSDT
2026-04-21T12:15:00+00:00,1,0.00161,DEXEUSDT
2026-04-21T12:30:00+00:00,2,-0.00723,LINKUSDT|NEARUSDT
2026-04-21T13:00:00+00:00,1,-0.00033,ATOMUSDT
2026-04-21T13:30:00+00:00,4,-0.00033,COINUSDT|CRCLUSDT|EVAAUSDT|HOODUSDT
2026-04-21T14:15:00+00:00,1,0.0037,TACUSDT
2026-04-21T16:00:00+00:00,2,0.00165,CHZUSDT|LDOUSDT
2026-04-21T17:00:00+00:00,1,-0.00306,EWYUSDT
2026-04-21T17:15:00+00:00,2,-0.00286,ATOMUSDT|WIFUSDT
2026-04-21T19:30:00+00:00,2,-0.0121,FARTCOINUSDT|XMRUSDT
2026-04-21T21:15:00+00:00,1,1e-05,BEATUSDT
2026-04-22T05:30:00+00:00,1,-0.00165,SEIUSDT
2026-04-22T05:45:00+00:00,1,-0.00183,PUMPUSDT
2026-04-22T06:00:00+00:00,1,-0.00046,LDOUSDT
2026-04-22T09:15:00+00:00,1,0.00147,TACUSDT
2026-04-22T10:00:00+00:00,1,0.00051,TRUMPUSDT
2026-04-22T10:15:00+00:00,1,0.00035,XMRUSDT
2026-04-22T11:15:00+00:00,2,0.00212,APTUSDT|PENGUUSDT
2026-04-22T13:30:00+00:00,1,0.00176,INTCUSDT
2026-04-22T13:45:00+00:00,1,0.00292,DEXEUSDT
2026-04-22T14:00:00+00:00,1,0.00284,TRUMPUSDT
2026-04-22T14:15:00+00:00,3,-0.00076,MSTRUSDT|TACUSDT|TRXUSDT
2026-04-22T15:45:00+00:00,1,-8e-05,PENGUUSDT
2026-04-22T16:15:00+00:00,1,-0.0034,SEIUSDT
2026-04-22T16:45:00+00:00,1,-0.00093,UBUSDT
2026-04-22T19:30:00+00:00,1,-0.00221,TRUMPUSDT
2026-04-22T22:00:00+00:00,1,2e-05,UBUSDT
2026-04-23T00:00:00+00:00,1,-0.00385,WIFUSDT
2026-04-23T01:30:00+00:00,1,0.00262,TACUSDT
2026-04-23T02:00:00+00:00,2,-0.00244,HOMEUSDT|PENGUUSDT
2026-04-23T04:15:00+00:00,1,-0.00073,VELVETUSDT
2026-04-23T06:30:00+00:00,1,-0.00133,TACUSDT
2026-04-23T06:45:00+00:00,1,0.00042,MAGMAUSDT
2026-04-23T09:00:00+00:00,2,-0.0036,PENGUUSDT|VELVETUSDT
2026-04-23T10:30:00+00:00,1,-0.00016,UBUSDT
2026-04-23T10:45:00+00:00,1,0.00038,TACUSDT
2026-04-23T13:15:00+00:00,1,-0.00087,VELVETUSDT
2026-04-23T13:30:00+00:00,2,-0.00067,DEXEUSDT|PLTRUSDT
2026-04-23T13:45:00+00:00,2,-0.00011,MSTRUSDT|TSLAUSDT
2026-04-23T14:30:00+00:00,1,0.00214,UBUSDT
2026-04-23T16:30:00+00:00,1,0.00038,TACUSDT
2026-04-23T17:30:00+00:00,10,-0.00518,AEROUSDT|ASTERUSDT|ATOMUSDT|DOTUSDT|EWYUSDT|FILUSDT|PENGUUSDT|TRUMPUSDT|WIFUSDT|XLMUSDT
2026-04-23T17:45:00+00:00,1,0.00744,APTUSDT
2026-04-23T18:30:00+00:00,1,0.00157,LABUSDT
2026-04-24T00:00:00+00:00,1,0.00056,ALLOUSDT
2026-04-24T02:00:00+00:00,1,-0.00026,KAITOUSDT
2026-04-24T05:15:00+00:00,1,0.00103,LABUSDT
2026-04-24T09:00:00+00:00,1,-0.00343,PENGUUSDT
2026-04-24T09:30:00+00:00,1,0.0012,EVAAUSDT
2026-04-24T10:00:00+00:00,1,-0.00022,LABUSDT
2026-04-24T11:30:00+00:00,1,-0.00046,ALLOUSDT
2026-04-24T11:45:00+00:00,1,-0.0008,WLFIUSDT
2026-04-24T13:30:00+00:00,1,0.00022,MSTRUSDT
2026-04-24T13:45:00+00:00,1,-0.0012,INTCUSDT
2026-04-24T15:00:00+00:00,1,-0.00385,BSBUSDT
2026-04-24T15:15:00+00:00,1,0.00123,TRXUSDT
2026-04-24T16:15:00+00:00,1,-0.00086,ESPORTSUSDT
2026-04-24T18:00:00+00:00,1,-0.0019,TRUMPUSDT
2026-04-24T18:30:00+00:00,1,0.00107,ZBTUSDT
2026-04-24T21:00:00+00:00,1,-0.00182,ESPORTSUSDT
2026-04-24T21:15:00+00:00,1,0.00047,EVAAUSDT
2026-04-24T22:30:00+00:00,2,-0.00333,HBARUSDT|TRUMPUSDT
2026-04-24T22:45:00+00:00,1,0.00068,ZBTUSDT
2026-04-25T01:00:00+00:00,1,0.00067,MAGMAUSDT
2026-04-25T03:30:00+00:00,1,0.00152,ESPORTSUSDT
2026-04-25T04:00:00+00:00,1,6e-05,BSBUSDT
2026-04-25T08:45:00+00:00,1,7e-05,TRXUSDT
2026-04-25T09:00:00+00:00,1,-0.00026,OPUSDT
2026-04-25T11:00:00+00:00,2,-0.00076,TRUMPUSDT|ZBTUSDT
2026-04-25T14:00:00+00:00,1,7e-05,INJUSDT
2026-04-25T16:30:00+00:00,1,-0.00037,ASTERUSDT
2026-04-25T17:00:00+00:00,1,-0.00067,BSBUSDT
2026-04-25T19:15:00+00:00,1,-0.00093,LABUSDT
2026-04-25T21:30:00+00:00,1,-0.00078,ZBTUSDT
2026-04-26T01:30:00+00:00,1,0.00076,ZBTUSDT
2026-04-26T02:15:00+00:00,1,-0.00016,BSBUSDT
2026-04-26T05:00:00+00:00,1,0.00466,JTOUSDT
