utc,cluster_size,btc_ret15,symbols
2026-04-17T00:45:00+00:00,1,-0.00044,KRW-LAYER
2026-04-17T02:15:00+00:00,3,-0.00054,KRW-BIGTIME|KRW-PLUME|KRW-ZORA
2026-04-17T04:30:00+00:00,1,0.00054,KRW-BERA
2026-04-17T05:00:00+00:00,2,-0.00159,KRW-SIGN|KRW-WAVES
2026-04-17T05:15:00+00:00,1,0.00035,KRW-DATA
2026-04-17T08:30:00+00:00,2,0.00374,KRW-MMT|KRW-VANA
2026-04-17T10:00:00+00:00,1,-0.00233,KRW-PENDLE
2026-04-17T10:15:00+00:00,1,-0.0037,KRW-INJ
2026-04-17T10:30:00+00:00,2,-0.00048,KRW-DATA|KRW-NEAR
2026-04-17T12:15:00+00:00,1,0.00099,KRW-ARB
2026-04-17T14:00:00+00:00,3,-0.00422,KRW-ETC|KRW-FIL|KRW-PENDLE
2026-04-17T22:45:00+00:00,1,-0.00102,KRW-PENDLE
2026-04-17T23:15:00+00:00,1,-0.00114,KRW-SUI
2026-04-18T00:00:00+00:00,2,0.00015,KRW-LAYER|KRW-VANA
2026-04-18T00:45:00+00:00,1,0.00139,KRW-DATA
2026-04-18T01:15:00+00:00,1,0.00061,KRW-WAVES
2026-04-18T02:30:00+00:00,1,0.00035,KRW-AVNT
2026-04-18T03:15:00+00:00,1,-0.00123,KRW-PENDLE
2026-04-18T08:15:00+00:00,2,-0.00129,KRW-AVAX|KRW-BIGTIME
2026-04-18T08:30:00+00:00,1,-0.00251,KRW-SUI
2026-04-18T08:45:00+00:00,1,0.00272,KRW-ELF
2026-04-18T09:15:00+00:00,2,5e-05,KRW-CRO|KRW-WAVES
2026-04-18T10:00:00+00:00,1,-0.00362,KRW-LINK
2026-04-18T10:45:00+00:00,1,-0.00231,KRW-PENDLE
2026-04-18T11:00:00+00:00,1,-0.00246,KRW-SAND
2026-04-18T11:30:00+00:00,2,-0.00214,KRW-PEPE|KRW-RENDER
2026-04-18T12:15:00+00:00,1,-0.00069,KRW-BIGTIME
2026-04-18T15:30:00+00:00,1,-0.00033,KRW-ME
2026-04-18T15:45:00+00:00,1,0.00024,KRW-WAVES
2026-04-18T16:15:00+00:00,1,-0.00128,KRW-AVNT
2026-04-18T18:30:00+00:00,2,-6e-05,KRW-AAVE|KRW-MOVE
2026-04-18T20:00:00+00:00,1,-0.00023,KRW-CRO
2026-04-18T21:00:00+00:00,1,0.00051,KRW-WAVES
2026-04-18T23:30:00+00:00,1,-0.00163,KRW-MOVE
2026-04-18T23:45:00+00:00,1,-0.0004,KRW-AAVE
2026-04-19T00:15:00+00:00,1,-0.00224,KRW-ZRO
2026-04-19T00:45:00+00:00,1,0.00173,KRW-ZKP
2026-04-19T01:15:00+00:00,1,-0.00164,KRW-WAVES
2026-04-19T01:30:00+00:00,1,-0.0016,KRW-CFG
2026-04-19T01:45:00+00:00,2,0.00016,KRW-OPEN|KRW-TREE
2026-04-19T02:00:00+00:00,1,0.00011,KRW-ERA
2026-04-19T02:30:00+00:00,1,0.0018,KRW-SNT
2026-04-19T04:30:00+00:00,2,-0.00193,KRW-AAVE|KRW-ZRO
2026-04-19T05:15:00+00:00,1,-0.00049,KRW-MOVE
2026-04-19T06:30:00+00:00,1,0.00031,KRW-VANA
2026-04-19T07:15:00+00:00,2,-0.00259,KRW-AVAX|KRW-VIRTUAL
2026-04-19T08:30:00+00:00,1,6e-05,KRW-AAVE
2026-04-19T08:45:00+00:00,1,0.00032,KRW-ZRO
